Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Return on Equity","Return on Investment","% Away From 52W High","6M Return","Debt to Equity","Earning Power","Long Term Debt to Equity","5Y Historical Revenue Growth","1Y Forward Revenue Growth","Sector PE"," MF Holding Change – 6M","FII Holding Change – 6M","Percentage Buy Reco’s","No. of analysts with buy reco","Fundamental Score","Total Revenue","Earnings Per Share"
Vidhi Specialty Food Ingredients Ltd,VIDHIING,"Commodity Chemicals","1967.0838250000002","33.585177138466754","25.20944664712982","19.89795918367348","30.468452456518968","-1.5621094726318419","19.06031116345379","36.74247461985196","1.146717907394781","22.72207697276729",,"11.33587913952648","0","0.20335168685554111",,"0","5.561842105263157","538.44","11.75"
JTEKT India Ltd,JTEKTINDIA,"Auto Parts","1958.28855669","53.05577232972099","1.8858536898533038","2.4479422125117036","65.91760299625471","-12.934782608695658","7.770302739067755","6.422185536950879","3.381387153612045","5.459394434551101","16.324333210871707","116.53524013940141","-0.14034658940383515","0.05698614722470907","100","1","2.819565217391304","1599.03","1.51"
Gulf Oil Lubricants India Ltd,GULFOILLUB,"Commodity Chemicals","1957.49732941","9.27504065107794","24.54068241469816","19.868609761739528","75.27231751596344","-12.691298644512452","24.314158528589672","20.333577763327202","0.6510461598628893","15.092456335343506","15.740067888924033","11.33587913952648",,,"25","1","6.26","2235.82","41.89"
Prime Focus Ltd,PFOCUS,"Animation","1952.97891888","-11.384313138327041","-10.547292699523702","4.884371985790573","51.76380368098159","-7.188612099644124","1126.824059108751","5.461757564613041","450.09524359270375","8.822017612699362",,"116.53524013940141","0","0.010104237329642274",,"0","4.421052631578947","3477.76","-5.81"
Fairchem Organics Ltd,FAIRCHEMOR,"Specialty Chemicals","1952.7446729399999","28.75489137004863","28.756134709764755","21.858650350270455","51.683670067346824","-13.698748381527835","33.669175605997744","37.93503480278419","15.403307058614352",,,"11.33587913952648","0","6.027631572682139",,"0",,"643.55","52.15"
Bombay Dyeing and Mfg Co Ltd,BOMDYEING,"Textiles","1951.754805","-4.239995666058392",,,"48.62433862433861","-12.093023255813954",,,,"0.9840798261486317",,"116.53524013940141","0","0.39739389782738055",,"0","7.010493827160494","2106.35","-22.287758630623696"
Choice International Ltd,CHOICEIN,"Investment Banking & Brokerage","1944.2157","36.265914941242315","7.017470183100948","4.032530527535107","1.0876519513755678","206.7593028732925","57.534975669099765","11.249961807571264","9.968065693430658","16.188231128228402",,"18.361570903897096","0","2.153195594501165",,"0",,"285.96","13.84"
IOL Chemicals and Pharmaceuticals Ltd,IOLCP,"Commodity Chemicals","1938.4556760399998","11.56113601741517","42.87043689156544","35.65581557364071","116.77771047849785","-29.878955192185174","0.21659275009322215","14.479935904204105","0.14518854676578627","25.496757329829766","10.449173084495579","11.33587913952648","-0.3445946173835631","0.3830492753473087","100","2",,"2216.06","28.56"
Dwarikesh Sugar Industries Ltd,DWARKESH,"Sugar","1931.9730822000001","12.44828016881443","24.78837246446255","15.606781926000174","44.68810916179338","17.32418524871354","77.82827607717329","17.634005621578975","29.95885873843368","10.35313374406648","0.15775750440180875","43.68248406554839","-0.658448391295086","4.935206825522924","100","2","5.614473684210527","1977.22","8.242102411627485"
eMudhra Ltd,EMUDHRA,"IT Services & Consulting","1927.997201845","46.547494008812166","16.058931860036864","10.826177080248762","12.978335695484922",,"44.78648602298062","29.044864780365792","29.90910649974276",,,"25.15195670547271","6.023918499926177","2.5520513524560435",,"0",,"183.74","5.86"
IFCI Ltd,IFCI,"Specialized Finance","1924.237044075","-1.0507262682380116","-34.20698865528377","-12.084791665240235","106.01092896174866","-43.86503067484662","219.74847198422128",,"218.34614060332493","-15.396551525464552",,"18.361570903897096","-0.0006839846023665649","-0.1281947372502743",,"0","3.3227272727272728","1595.66","-8.71"
Oriental Aromatics Ltd,OAL,"Specialty Chemicals","1915.7298137999999","35.935655858188035","9.171534008309584","7.7037753334139","93.2367149758454","-26.69499710256905","23.024685238425697","9.241744519470897","7.435312778824229","13.544658782293538",,"11.33587913952648","0.6337513731081654","0.04628631441722568",,"0",,"877.0699999999999","15.84081287527955"
Fiem Industries Ltd,FIEMIND,"Auto Parts","1914.8210641500002","20.08834519670585","8.530424694200109","8.986011831402541","2.7799731967973695","25.052640625671437","14.010713972073418","14.916504012144868","8.14964433125494","9.089908414406999",,"116.53524013940141","0","1.0396410895885424","50","1","5.3094202898550735","1574.86","71.55"
Virescent Renewable Energy Trust,VIRESCENT,"Renewable Energy","1909.5","-81.84740677239616",,,"5.368421052631578","-5.09490509490509",,,,,,"22.926733317170665",,,,"0",,"367.56","-0.16"
Gabriel India Ltd,GABRIEL,"Auto Parts","1905.4368641","21.282663510555146","8.943023091930083","9.400976103742689","26.762156049755003","-5.418894830659532","2.108256380060605","10.699029444017079","1.8554953971650556","9.08886247575651","10.720138045248065","116.53524013940141","2.134700565857494","0.2799491576184837","100","3","5.964492753623189","2358.16","6.23"
HDFC Gold ETF,HDFCMFGETF,"Gold","1897.8134538",,,,"8.349683889252258","7.827926657263748",,,,,,,,,,"0",,,
ICICI Prudential Gold ETF,ICICIGOLD,"Gold","1896.768328",,,,"12.688359903909152","7.665177521749348",,,,,,,,,,"0",,,
