Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","% Away From 52W High","ROCE","Debt to Equity","5Y Historical Revenue Growth","Sector PE","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Upside","Fundamental Score","Value Momentum Rank","Earnings Quality Rank","Price Momentum Rank","Price to Intrinsic Value Rank","Total Revenue","Total Debt","Expense Ratio"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","71909.8727679","500.25","94.71795675434664","44.78760619690154","0.40256031240945844","10.012139719409785","11.224338070258977","18.157425027422967","25","83.3333333333333","33.27453987730061",,"3","35","7","15","64590.61","1200",
Larsen & Toubro Infotech Ltd,LTI,"IT Services & Consulting","70129.7011356","4000.8","30.53365601515149","89.68206358728254","33.228866411613666","9.472466922893778","19.26194543527535","25.377926607793576","16","51.61290322580639","41.10650869712863","6.446739130434783","30","66","45","44","16135.400000000001","835.5",
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","69643.47823562499","1111.25","58.20745880433694","35.38357705286839","24.288181593881074","7.289488896181672","17.459467830547702","42.94042285274228","22","53.6585365853659","22.45419777818249","6.0162790697674415","50","96","66","22","14098.92","437.58",
Shree Cement Ltd,SHREECEM,"Cement","69324.82759223999","19213.8","29.72839249390634","63.78826676659486","17.448221347423935","13.812605309099807","11.674243707970277","11.280902227432499","14","35.8974358974359","23.08433589167635","6.137837837837838","2","86","14","26","15555.45","2133.85",
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","67791.04075","318.35","5.803282176946467","58.00219883775717","17.915343848226332","101.82387926598187","11.509611378474904","12.70631060421709","28","84.8484848484848","46.973897535667966","4.96875","76","77","12","93","351730.5","54531.86",
Fsn E-Commerce Ventures Ltd,NYKAA,"Business Support Services","67061.96124902999","1414.05","1632.4722796745366","82.00912273257663","15.452015086384376","67.7845921881049",,"42.94042285274228","11","68.75","26.85887913571911",,"1","93",,"1","3800.91","332.68",
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","66310.25365282499","719.55","70.86094344057898","23.54944062261137","8.539541119133068","8.66606192876204","12.697028012561962","42.670964289078235","17","80.95238095238099","23.01167976215757",,"22","40","56","21","12565.43","1412.01",
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","66143.52862289999","207","37.981652534597295","43.98550724637682","8.662296179951493","196.68900887720596","9.354034029819136","23.036798711378058","6","30","11.57111770524234","3.455","85","42","78","59","46099","51195.119999999995",
SRF Ltd,SRF,"Diversified Chemicals","64075.850869125","2161.65","33.92195056917444","28.297828048018857","23.854759949490933","42.67409659372169","20.7190565880744","11.280902227432499","18","85.7142857142857","21.093597371459026","6.0888888888888895","78","45","92","26","12549.17","3655.19",
Interglobe Aviation Ltd,INDIGO,"Airlines","63582.44047416","1650.4","-10.318742530503872","44.207464857004354","-15.731695034746712","26934.557099043726","6.594973760633804","42.94042285274228","13","65","33.39434690574025","8.499999999999998","36","1","52",,"26656.53","29859.649999999998",
Marico Ltd,MARICO,"FMCG - Personal Products","63437.80366672001","491.2","51.78596217691429","23.717426710097733","48.051567535892175","10.773480662983426","9.827361072158137","42.670964289078235","28","73.6842105263158","23.01318267419963","5.7318181818181815","15","98","53","27","9610","351",
Indusind Bank Ltd,INDUSINDBK,"Private Banks","62564.71663048","807.2","13.021755396457174","53.86521308225964","5.990201777893739",,"15.527441201093595","18.157425027422967","37","86.046511627907","50.163328507584815","6.142857142857143","80","72","21","91","38230.07",,
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","58056.35775","1736.2","11.428326893095324","13.613063011173821","19.98370354062143","0.3301077179949897","6.139479465648168","42.94042285274228","4","100","5.387727426827895","4.35","92","99","98","75","25604.95","50.89",
GAIL (India) Ltd,GAIL,"Gas Distribution","58014.29585007","132.35","4.733515380547762","31.091802040045337","22.759554589153417","14.77600435286674","13.970600378984477","23.036798711378058","25","89.2857142857143","39.843934911242606","5.041666666666666","97","34","52","93","95704.42","7872.629999999999",
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","57317.2618392","788.8","69.17362037074587","29.304006085192704","28.1462666538867","25.543866564832832","1.7781913658460269","42.670964289078235","14","63.636363636363605","23.840868706811463","5.725","17","91","87","14","9747.9","1036.8",
Berger Paints India Ltd,BERGEPAINT,"Paints","56555.310147025004","582.25","67.90820362986605","49.92700729927009","30.334164304776863","18.728519797986365","13.631263866463517","11.280902227432499","3","12","13.273623086398045","5.107272727272727","3","85","27","9","8830.23","633.76",
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","56259.41600435","1145.75","44.263551037639346","46.19245036002619","19.813227099135574","6.52278874099418","17.48864283767997","18.157425027422967","15","65.2173913043478","45.562246308934384",,"7","71","10","40","16836.02","485",
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","56043.1713504","208","8.793706571433054","60.00000000000001","32.03293636325505","135.8946904327014","28.39521023603595","-164.40969921343853","9","39.130434782608695","7.443328550932565",,"83","48","37","85","28069.7","21576",
Bharat Electronics Ltd,BEL,"Electronic Equipments","55992.90583014001","229.8","23.795277666636924","12.924281984334197","25.050158928763267","0","11.439634303794755","25.377926607793576","21","84","17.734301580521144","5.6000000000000005","74","99","97","55","15599.72","0",
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","55224.02425358","2763.8","23.835513385924177","7.422751284463414","18.75176294453324","3.7534359794365026","0.4421932660715999","115.76793819834823","27","61.363636363636395","7.083476118689563","4.333333333333334","68","97","52","70","30106.29","584.02",
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","53718.3647","3736.15","50.888457574293575","58.86407130334701","20.997252424174388","59.53898050974513","15.49239951678263","32.952257012295874","23","95.8333333333333","27.071616668929007","4.165","26","65","72","20","15042.24","2859.2999999999997",
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","53172.319651879996","117.7","60.84833741703974","81.86066270178421","8.75687006698197","71.93482835762394","8.507106595524693","115.76793819834823","17","77.27272727272731","32.17096910706728",,"25","74","24","52","64411.88","11929.599999999999",
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","52597.463459985","640.35","24.424062790507136","19.934410869055984","4.498622924311057","663.8678930811059","16.850167744307875","18.157425027422967","23","82.1428571428571","16.69184826472961","3.5999999999999996","58","7","59",,"10231.81","63729.99",
Varun Beverages Ltd,VBL,"Soft Drinks","51574.239828000005","794","74.30804228452863","1.8891687657430767","18.501838627645903","79.95567946243476","18.841265791928663","42.670964289078235","13","92.8571428571429","2.797679273417232",,"74","55","98","25","9243.19","3355.5",
Macrotech Developers Ltd,LODHA,"Real Estate","51382.05998078","1066.9","42.733983699510155","44.249695379135815","24.375034322010617","354.92415891998394","2.3962757038547444","49.134772591351265","12","75","35.11506080449019",,"48","49","50","35","9580.15","18192.879999999997",
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","50853.3435243","4569.3","12.538795842941255","44.398485544831814","9.303426344113836","0.3086747860209173","38.797259519845895","18.157425027422967","1","100","68.86336037686469",,"90","18","58","79","4380.18","136.18",
Tata Elxsi Ltd,TATAELXSI,"Software Services","50768.0652702","8152.05","92.36267014190582","15.553756417097532","42.97734443844342","8.651329556314845","14.906496229130672","25.377926607793576","1","20","-41.023970234561936","7.142857142857143","56","98","94","2","2515.3300000000004","138.5",
